%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
3099790000000,1342,3099790000000,base_link,0.00966855298517,-0.0110059737396,0.0168223666741,-0.999751190039,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00139333691914,-0.00608795974404,-0.000568061310332,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.275560259819,-0.120699189603,9.79013633728,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099810000000,1343,3099810000000,base_link,0.00970643110702,-0.0110218631427,0.0168039063544,-0.999750937158,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000935769290663,-0.00306767970324,0.0052427155897,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.246690765023,-0.186915159225,9.80518245697,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099830000000,1344,3099830000000,base_link,0.009674645592,-0.0110155031256,0.0167908408314,-0.999751527214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0047344933264,-0.00784434191883,0.00440752226859,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.257988780737,-0.267428189516,9.77631187439,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099850000000,1345,3099850000000,base_link,0.00966279512474,-0.0110411803934,0.0167879326989,-0.999751400773,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00211261631921,-0.00280376244336,0.000258190499153,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.242879465222,-0.104629054666,9.80996608734,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099870000000,1346,3099870000000,base_link,0.00961855496903,-0.0110332414335,0.0167488625703,-0.999752623032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00357226701453,-0.00777389574796,0.00509621202946,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.232427895069,-0.22776094079,9.73764801025,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099890000000,1347,3099890000000,base_link,0.0096099085266,-0.0110272220898,0.0167724226586,-0.999752412298,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00143169076182,-0.00561007577926,-0.00227277819067,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.283825516701,-0.216886609793,9.74363613129,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099910000000,1348,3099910000000,base_link,0.00965342802882,-0.0110344961255,0.0166931865834,-0.999753170941,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00325701665133,-0.00516182836145,0.0120693743229,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.22841334343,-0.1383369416,9.80394077301,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099930000000,1349,3099930000000,base_link,0.00965936645392,-0.0110261131831,0.0167287585236,-0.999752665179,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00040104665095,-0.00570451421663,-0.00172315398231,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.269220083952,-0.140707269311,9.75901889801,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099950000000,1350,3099950000000,base_link,0.00963856517318,-0.0110332536166,0.0167373986275,-0.999752623032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00507584540173,-0.00506429746747,-3.17074445775e-05,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.11058948189,-0.157347708941,9.78471851349,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
3099970000000,1351,3099970000000,base_link,0.00964787061287,-0.011008014034,0.0167085280363,-0.999753255235,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0007457145839,-0.0075483135879,0.00323605490848,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.217099860311,-0.100685067475,9.80360889435,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
