%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
2770438000000,1916,2770430000000,base_link,0.00836245647645,-0.0124884732486,0.0206488369035,-0.999673850572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00317062810063,-0.00205248361453,0.00128821586259,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.186529204249,-0.172803327441,9.78479862213,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770450000000,1917,2770450000000,base_link,0.00833559181179,-0.0124683731531,0.020686558333,-0.999673555544,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00342233665287,-0.00555187091231,-0.00108621269464,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.227045193315,-0.100065812469,9.75720691681,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770470000000,1918,2770466000000,base_link,0.00833465256268,-0.0124982620188,0.0206999188839,-0.999672923341,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00125856162049,-0.00202205823734,0.000229817116633,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.244506895542,-0.172645881772,9.79221439362,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770490000000,1919,2770490000000,base_link,0.00832668779613,-0.0124992159205,0.0206943133531,-0.999673049782,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00339070241898,-0.00567419361323,0.000886823050678,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.187619417906,-0.204424828291,9.71438503265,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770510000000,1920,2770510000000,base_link,0.00785821322722,-0.0125068607991,0.0206034868946,-0.999678655313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.050071220845,-0.00682934001088,0.0127802211791,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.332535892725,-0.348703831434,10.1191511154,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770530000000,1921,2770530000000,base_link,0.00661458238158,-0.0122092814935,0.0205092886881,-0.999693280269,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.139078244567,-0.0382952168584,0.0116398129612,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.391318947077,-0.261352002621,10.6355791092,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770550000000,1922,2770550000000,base_link,0.00518374659475,-0.0115388163421,0.0203958293719,-0.99971199347,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.192741602659,-0.103171475232,0.0167531371117,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.262899428606,-0.0952656939626,11.227686882,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770570000000,1923,2770570000000,base_link,0.00345541760697,-0.0101909732976,0.0203553262505,-0.999734963502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.172787547112,-0.144743591547,0.00574890244752,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.151337116957,-0.268927931786,11.6715354919,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770590000000,1924,2770590000000,base_link,0.00261452772236,-0.00897208215811,0.0202725076932,-0.999750852864,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0725287944078,-0.123307749629,0.0108552463353,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.303165823221,-0.3161444664,11.9046449661,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
2770610000000,1925,2770610000000,base_link,0.00239516226621,-0.00822634207673,0.0201665926629,-0.999759914437,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0197502654046,-0.0734648704529,0.0122277792543,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.317801386118,-0.270111560822,11.9143857956,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
